entity1,entity2,relation_type
languages,as French,CONJUNCTION
,,FEATURE-OF
,,HYPONYM-OF
method,intrinsic object structure,USED-FOR
intrinsic object structure,robust visual tracking,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
digital signal processor -LRB- DSP -RRB- implementation,real-time statistical voice conversion -LRB- VC -RRB-,USED-FOR
real-time statistical voice conversion -LRB- VC -RRB-,silent speech enhancement,USED-FOR
real-time statistical voice conversion -LRB- VC -RRB-,electrolaryngeal speech enhancement,USED-FOR
silent speech enhancement,electrolaryngeal speech enhancement,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
method,paraphrase,USED-FOR
paraphrase,machine translation evaluation measures,USED-FOR
BLEU,machine translation evaluation measures,HYPONYM-OF
BLEU,NIST,CONJUNCTION
NIST,machine translation evaluation measures,HYPONYM-OF
variation in a,;,CONJUNCTION
hand-produced sets,to,USED-FOR
hand-produced sets,,CONJUNCTION
,to,USED-FOR
,variation in a,CONJUNCTION
,,COMPARE
,,USED-FOR
Graph unification,unification-based grammar parsing,PART-OF
of unmodified,,PART-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
system,subcategorization dictionary,USED-FOR
textual corpora,system,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
InfoMagnets,interactive corpus exploration tool,HYPONYM-OF
are,text mining .,USED-FOR
submitted,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
conversational speech,language modeling,USED-FOR
,from the,USED-FOR
method,detecting 3D objects,USED-FOR
multi-modalities,method,USED-FOR
an,map,USED-FOR
.,map,USED-FOR
.,,CONJUNCTION
,map,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
compact description of a video sequence,domains,USED-FOR
image map,compact description of a video sequence,USED-FOR
image map,dominant motion,CONJUNCTION
dominant motion,compact description of a video sequence,USED-FOR
video browsing and retrieval,domains,HYPONYM-OF
video browsing and retrieval,compression,CONJUNCTION
compression,domains,HYPONYM-OF
compression,mosaicing,CONJUNCTION
mosaicing,domains,HYPONYM-OF
mosaicing,visual summarization,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
dominant factors,domain divergence,PART-OF
viewpoints,dominant factors,HYPONYM-OF
viewpoints,resolutions,CONJUNCTION
resolutions,dominant factors,HYPONYM-OF
resolutions,illuminations,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,PART-OF
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
,,COMPARE
pattern cross,from different dictionaries,PART-OF
