entity1,entity2,relation_type
nouns,reflexive pronouns,CONJUNCTION
grammatical gender,languages,FEATURE-OF
French,languages,HYPONYM-OF
method,intrinsic object structure,USED-FOR
intrinsic object structure,robust visual tracking,USED-FOR
low dimensional manifold,parameterized object state,FEATURE-OF
dimensionality reduction and density estimation algorithm,unsupervised learning of object intrinsic representation,USED-FOR
intrinsic representation,dynamical model,USED-FOR
intrinsic object structure,particle-filter style tracker,PART-OF
dynamical model,particle-filter style tracker,USED-FOR
tracker,trackers,COMPARE
tracker,tracking of complex non-rigid motions,USED-FOR
trackers,tracking of complex non-rigid motions,USED-FOR
fish twisting,complex non-rigid motions,HYPONYM-OF
self-occlusion,fish twisting,FEATURE-OF
self-occlusion,inter-frame lip motion,CONJUNCTION
inter-frame lip motion,fish twisting,FEATURE-OF
method,tracking problems,USED-FOR
digital signal processor -LRB- DSP -RRB- implementation,real-time statistical voice conversion -LRB- VC -RRB-,USED-FOR
real-time statistical voice conversion -LRB- VC -RRB-,silent speech enhancement,USED-FOR
real-time statistical voice conversion -LRB- VC -RRB-,electrolaryngeal speech enhancement,USED-FOR
silent speech enhancement,electrolaryngeal speech enhancement,CONJUNCTION
Electrolaryngeal speech,alaryngeal speech,HYPONYM-OF
speaking method,alaryngeal speech,USED-FOR
speaking method,laryngectomees,USED-FOR
sound quality,NAM and electrolaryngeal speech,EVALUATE-FOR
devices,it,USED-FOR
sufficient computational resources,devices,FEATURE-OF
limited computational resources,devices,FEATURE-OF
DSP,real-time VC,USED-FOR
real-time VC,speech enhancement systems,USED-FOR
one,speech enhancement systems,HYPONYM-OF
one,other,CONJUNCTION
other,speech enhancement systems,HYPONYM-OF
computational cost,methods,EVALUATE-FOR
computational cost,conversion accuracy,CONJUNCTION
conversion accuracy,methods,EVALUATE-FOR
DSP,real-time VC,USED-FOR
method,paraphrase,USED-FOR
paraphrase,machine translation evaluation measures,USED-FOR
BLEU,machine translation evaluation measures,HYPONYM-OF
BLEU,NIST,CONJUNCTION
NIST,machine translation evaluation measures,HYPONYM-OF
equivalence in meaning,grammaticality,CONJUNCTION
meaning equivalence,paraphrases,USED-FOR
meaning equivalence,entailment,CONJUNCTION
entailment,paraphrases,USED-FOR
internal lexical and syntactical variation,equivalence in meaning,CONJUNCTION
paraphrases,hand-produced sets,COMPARE
method,paraphrase,USED-FOR
Graph unification,unification-based grammar parsing,PART-OF
speed-up element,unification algorithms,PART-OF
structure-sharing,method,USED-FOR
scheme,cyclic structures,USED-FOR
quasi-destructive scheme 's ability,scheme,FEATURE-OF
over copying,early copying,CONJUNCTION
system,subcategorization dictionary,USED-FOR
textual corpora,system,USED-FOR
system,subcategorization dictionary,USED-FOR
accuracy,parser,EVALUATE-FOR
parser,subcategorization dictionary,EVALUATE-FOR
