English	S-Material
is	O
shown	O
to	O
be	O
trans-context-free	O
on	O
the	O
basis	O
of	O
coordinations	S-OtherScientificTerm
of	O
the	O
respectively	O
type	O
that	O
involve	O
strictly	B-OtherScientificTerm
syntactic	I-OtherScientificTerm
cross-serial	I-OtherScientificTerm
agreement	E-OtherScientificTerm
.	O

The	O
agreement	S-Generic
in	O
question	O
involves	O
number	O
in	O
nouns	S-OtherScientificTerm
and	O
reflexive	B-OtherScientificTerm
pronouns	E-OtherScientificTerm
and	O
is	O
syntactic	O
rather	O
than	O
semantic	O
in	O
nature	O
because	O
grammatical	B-OtherScientificTerm
number	E-OtherScientificTerm
in	O
English	S-Material
,	O
like	O
grammatical	B-OtherScientificTerm
gender	E-OtherScientificTerm
in	O
languages	S-Material
such	O
as	O
French	S-Material
,	O
is	O
partly	O
arbitrary	O
.	O

The	O
formal	O
proof	O
,	O
which	O
makes	O
crucial	O
use	O
of	O
the	O
Interchange	B-Method
Lemma	E-Method
of	O
Ogden	O
et	O
al.	O
,	O
is	O
so	O
constructed	O
as	O
to	O
be	O
valid	O
even	O
if	O
English	S-Material
is	O
presumed	O
to	O
contain	O
grammatical	O
sentences	O
in	O
which	O
respectively	O
operates	O
across	O
a	O
pair	O
of	O
coordinate	O
phrases	O
one	O
of	O
whose	O
members	O
has	O
fewer	O
conjuncts	O
than	O
the	O
other	O
;	O
it	O
thus	O
goes	O
through	O
whatever	O
the	O
facts	O
may	O
be	O
regarding	O
constructions	O
with	O
unequal	O
numbers	O
of	O
conjuncts	O
in	O
the	O
scope	O
of	O
respectively	O
,	O
whereas	O
other	O
arguments	O
have	O
foundered	O
on	O
this	O
problem	O
.	O

In	O
this	O
paper	O
,	O
a	O
novel	O
method	S-Method
to	O
learn	O
the	O
intrinsic	B-OtherScientificTerm
object	I-OtherScientificTerm
structure	E-OtherScientificTerm
for	O
robust	B-Task
visual	I-Task
tracking	E-Task
is	O
proposed	O
.	O

The	O
basic	O
assumption	O
is	O
that	O
the	O
parameterized	B-OtherScientificTerm
object	I-OtherScientificTerm
state	E-OtherScientificTerm
lies	O
on	O
a	O
low	B-OtherScientificTerm
dimensional	I-OtherScientificTerm
manifold	E-OtherScientificTerm
and	O
can	O
be	O
learned	O
from	O
training	O
data	O
.	O

Based	O
on	O
this	O
assumption	O
,	O
firstly	O
we	O
derived	O
the	O
dimensionality	B-Method
reduction	I-Method
and	I-Method
density	I-Method
estimation	I-Method
algorithm	E-Method
for	O
unsupervised	B-Task
learning	I-Task
of	I-Task
object	B-Method
intrinsic	I-Method
representation	E-Method
,	O
the	O
obtained	O
non-rigid	B-OtherScientificTerm
part	I-OtherScientificTerm
of	I-OtherScientificTerm
object	I-OtherScientificTerm
state	E-OtherScientificTerm
reduces	O
even	O
to	O
2	O
dimensions	O
.	O

Secondly	O
the	O
dynamical	B-Method
model	E-Method
is	O
derived	O
and	O
trained	O
based	O
on	O
this	O
intrinsic	B-Method
representation	E-Method
.	O

Thirdly	O
the	O
learned	O
intrinsic	B-OtherScientificTerm
object	I-OtherScientificTerm
structure	E-OtherScientificTerm
is	O
