sentence,entity1,entity2,label
"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",nouns,reflexive pronouns,CONJUNCTION
"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",grammatical gender,languages,FEATURE-OF
"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",French,languages,HYPONYM-OF
"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed .",method,intrinsic object structure,USED-FOR
"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed .",intrinsic object structure,robust visual tracking,USED-FOR
The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data .,low dimensional manifold,parameterized object state,FEATURE-OF
"Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions .",dimensionality reduction and density estimation algorithm,unsupervised learning of object intrinsic representation,USED-FOR
Secondly the dynamical model is derived and trained based on this intrinsic representation .,intrinsic representation,dynamical model,USED-FOR
Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker .,intrinsic object structure,particle-filter style tracker,PART-OF
We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable .,dynamical model,particle-filter style tracker,USED-FOR
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,tracker,trackers,COMPARE
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,tracker,tracking of complex non-rigid motions,USED-FOR
Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,trackers,tracking of complex non-rigid motions,USED-FOR
